664e9d24 17c 90 38   Note On Ab2 43
38d3c1e9 90 43 64   Note On G3 100
38d3c30b 90 41 00   Note On(0-Off) F3

38d3c325 90 43 00   Note On(0-Off) G3

38d3c347 90 29 40   Note On F1 64

38d3c358 90 45 3e   Note On A3 62

38d3c35c 90 41 5e   Note On F3 94
38d3c4b0 90 30 40   Note On C2 64

38d3c4fb 90 29 00   Note On(0-Off) F1
38d3c63e 90 35 59   Note On F2 89

38d3c647 90 30 00   Note On(0-Off) C2

38d3c68a 90 45 00   Note On(0-Off) A3
38d3c69e 90 41 00   Note On(0-Off) F3
38d3c71b 90 35 00   Note On(0-Off) F2
38d3c773 90 41 3d   Note On F3 61

38d3c778 90 45 3d   Note On A3 61
38d3c82e 90 41 00   Note On(0-Off) F3

38d3c82e 90 45 00   Note On(0-Off) A3
38d3c8cc 90 35 5e   Note On F2 94

38d3c8d4 90 45 6b   Note On A3 107

38d3c8d5 90 41 6d   Note On F3 109
38d3c991 90 35 00   Note On(0-Off) F2

38d3c9c8 90 41 00   Note On(0-Off) F3

38d3c9cc 90 45 00   Note On(0-Off) A3
38d3ca17 90 43 5e   Note On G3 94

38d3ca18 90 40 64   Note On E3 100
38d3ca4e 90 28 70   Note On E1 112
38d3cabd 90 40 00   Note On(0-Off) E3

38d3cac3 90 43 00   Note On(0-Off) G3
38d3cb20 90 28 00   Note On(0-Off) E1

38d3cb52 90 43 69   Note On G3 105

38d3cb59 90 40 6b   Note On E3 107
38d3cc5a 90 40 00   Note On(0-Off) E3
38d3ccb0 90 40 60   Note On E3 96

38d3ccb8 90 43 00   Note On(0-Off) G3
38d3cdd8 90 40 00   Note On(0-Off) E3

38d3ce0f 90 26 5f   Note On D1 95

38d3ce20 90 41 67   Note On F3 103
38d3cf6a 90 2d 4d   Note On A1 77

38d3cfa7 90 26 00   Note On(0-Off) D1
38d3d04a 90 2d 00   Note On(0-Off) A1
38d3d0bd 90 32 3d   Note On D2 61
38d3d14a 90 32 00   Note On(0-Off) D2
38d3d1f2 90 34 4d   Note On E2 77
38d3d34e 90 35 49   Note On F2 73
38d3d385 90 34 00   Note On(0-Off) E2
38d3d4a2 90 39 4d   Note On A2 77

38d3d4a7 90 35 00   Note On(0-Off) F2
38d3d535 90 39 00   Note On(0-Off) A2
38d3d824 90 24 76   Note On C1 118
38d3d95c 90 2b 36   Note On G1 54
38d3d9c1 90 24 00   Note On(0-Off) C1
38d3da7b 90 2b 00   Note On(0-Off) G1
38d3dabd 90 30 27   Note On C2 39
38d3db62 90 30 00   Note On(0-Off) C2
38d3dbc9 90 32 3e   Note On D2 62
38d3dc33 90 40 47   Note On E3 71

38d3dc3b 90 41 00   Note On(0-Off) F3
38d3dd02 90 40 00   Note On(0-Off) E3
38d3dd7f 90 34 69   Note On E2 105

38d3dd85 90 40 69   Note On E3 105

38d3dd98 90 32 00   Note On(0-Off) D2
38d3dea0 90 34 00   Note On(0-Off) E2

38d3dedf 90 40 00   Note On(0-Off) E3
38d3e2e7 90 2e 60   Note On Bb1 96

38d3e2ed 90 3e 6e   Note On D3 110
38d3e44e 90 35 5f   Note On F2 95
38d3e572 90 3a 49   Note On Bb2 73

38d3e593 90 35 00   Note On(0-Off) F2
38d3e5bd 90 3e 00   Note On(0-Off) D3
38d3e6cb 90 3e 72   Note On D3 114
38d3e833 90 40 76   Note On E3 118

38d3e86c 90 2e 00   Note On(0-Off) Bb1
38d3e89d 90 3a 00   Note On(0-Off) Bb2
38d3e950 90 3a 3e   Note On Bb2 62
38d3ea05 90 3e 00   Note On(0-Off) D3

38d3ea25 90 40 00   Note On(0-Off) E3
38d3eabd 90 3e 72   Note On D3 114
38d3eb25 90 3a 00   Note On(0-Off) Bb2
38d3ebd2 90 3a 3f   Note On Bb2 63

38d3ebef 90 40 72   Note On E3 114
38d3ecd1 90 3e 00   Note On(0-Off) D3
38d3ed2b 90 3a 00   Note On(0-Off) Bb2

38d3ed2c 90 40 00   Note On(0-Off) E3
38d3ed96 90 3e 66   Note On D3 102

38d3ed96 90 41 6b   Note On F3 107

38d3ed96 90 2e 64   Note On Bb1 100
38d3eeb5 90 3a 67   Note On Bb2 103

38d3eee3 90 2e 00   Note On(0-Off) Bb1

38d3eee9 90 3e 00   Note On(0-Off) D3
38d3ef5e 90 41 00   Note On(0-Off) F3
38d3f003 90 3e 6b   Note On D3 107
38d3f09e 90 3a 00   Note On(0-Off) Bb2
38d3f135 90 40 70   Note On E3 112
38d3f220 90 3e 00   Note On(0-Off) D3
38d3f247 90 40 00   Note On(0-Off) E3

38d3f295 90 41 6d   Note On F3 109
38d3f2ae 90 3a 52   Note On Bb2 82
38d3f3d8 90 3e 52   Note On D3 82
38d3f3dc 90 41 00   Note On(0-Off) F3
38d3f539 90 40 67   Note On E3 103
38d3f5e6 90 3a 00   Note On(0-Off) Bb2
38d3f6aa 90 41 6d   Note On F3 109
38d3f782 90 40 00   Note On(0-Off) E3

38d3f791 90 3e 00   Note On(0-Off) D3
38d3f7cc 90 41 00   Note On(0-Off) F3

38d3f7fa 90 2b 66   Note On G1 102

38d3f7fb 90 41 62   Note On F3 98

38d3f807 90 45 62   Note On A3 98

38d3f80e 90 3e 66   Note On D3 102
38d3f95c 90 32 62   Note On D2 98

38d3f9b4 90 2b 00   Note On(0-Off) G1
38d3fa67 90 32 00   Note On(0-Off) D2
38d3faaf 90 3e 00   Note On(0-Off) D3

38d3fab3 90 37 3e   Note On G2 62

38d3fae2 90 45 00   Note On(0-Off) A3
38d3fb05 90 41 00   Note On(0-Off) F3
38d3fb76 90 37 00   Note On(0-Off) G2
38d3fbe5 90 39 52   Note On A2 82
38d3fd49 90 3b 62   Note On B2 98
38d3fd8c 90 39 00   Note On(0-Off) A2
38d3ff2a 90 3b 00   Note On(0-Off) B2
38d3ffc3 90 45 59   Note On A3 89
38d40134 90 45 00   Note On(0-Off) A3
38d40253 90 43 36   Note On G3 54
38d40a81 90 43 00   Note On(0-Off) G3
38d40cb3 90 30 34   Note On C2 52
38d40e12 90 37 3e   Note On G2 62
38d40e6e 90 30 00   Note On(0-Off) C2
38d40f26 90 37 00   Note On(0-Off) G2
38d410ac 90 3e 40   Note On D3 64
38d41207 90 40 3e   Note On E3 62

38d41210 90 3e 00   Note On(0-Off) D3
38d41356 90 43 4b   Note On G3 75

38d41362 90 40 00   Note On(0-Off) E3
38d41448 90 43 00   Note On(0-Off) G3
38d414b5 90 48 40   Note On C4 64
38d415c8 90 4f 52   Note On G4 82
38d41713 90 2d 5f   Note On A1 95

38d41733 90 4d 7d   Note On F4 125
38d41758 90 4f 00   Note On(0-Off) G4
38d41844 90 34 5e   Note On E2 94
38d4187d 90 2d 00   Note On(0-Off) A1
38d41920 90 34 00   Note On(0-Off) E2
38d4196f 90 39 2b   Note On A2 43
38d419b5 90 4c 66   Note On E4 102

38d419cf 90 4d 00   Note On(0-Off) F4
38d41a11 90 39 00   Note On(0-Off) A2
38d41aa9 90 3b 5f   Note On B2 95
38d41aef 90 4a 67   Note On D4 103

38d41b02 90 4c 00   Note On(0-Off) E4
38d41b6e 90 48 00   Note On(0-Off) C4
38d41c42 90 3b 00   Note On(0-Off) B2
38d41d6c 90 40 3f   Note On E3 63

38d41d77 90 48 64   Note On C4 100
38d41d9d 90 4a 00   Note On(0-Off) D4
38d41e51 90 40 00   Note On(0-Off) E3
38d42007 90 4d 64   Note On F4 100
38d42145 90 32 40   Note On D2 64
38d42284 90 39 40   Note On A2 64
38d422c3 90 32 00   Note On(0-Off) D2

38d422c6 90 4d 00   Note On(0-Off) F4

38d422d1 90 48 00   Note On(0-Off) C4
38d42360 90 39 00   Note On(0-Off) A2
38d423d7 90 3e 36   Note On D3 54
38d4248c 90 3e 00   Note On(0-Off) D3
38d42516 90 40 2b   Note On E3 43

38d42520 90 41 28   Note On F3 40
38d42579 90 41 00   Note On(0-Off) F3
38d42673 90 41 74   Note On F3 116
38d426dd 90 40 00   Note On(0-Off) E3
38d427a8 90 40 52   Note On E3 82
38d428a5 90 40 00   Note On(0-Off) E3
38d428f9 90 45 6e   Note On A3 110
38d4293b 90 41 00   Note On(0-Off) F3
38d42a4e 90 4c 5f   Note On E4 95
38d42a6a 90 48 47   Note On C4 71

38d42abd 90 45 00   Note On(0-Off) A3
38d42b2d 90 48 00   Note On(0-Off) C4

38d42b31 90 4c 00   Note On(0-Off) E4
38d42b9d 90 2b 44   Note On G1 68

38d42bb2 90 4c 64   Note On E4 100

38d42bb5 90 41 60   Note On F3 96

38d42bb5 90 45 6b   Note On A3 107

38d42bb7 90 48 66   Note On C4 102
38d42cd3 90 32 40   Note On D2 64

38d42d22 90 2b 00   Note On(0-Off) G1
38d42d2f 90 41 00   Note On(0-Off) F3

38d42d48 90 45 00   Note On(0-Off) A3

38d42d79 90 4c 00   Note On(0-Off) E4
38d42dd2 90 48 00   Note On(0-Off) C4
38d42e35 90 41 3c   Note On F3 60

38d42e36 90 4a 56   Note On D4 86

38d42e37 90 45 5b   Note On A3 91
38d42ecd 90 45 00   Note On(0-Off) A3

38d42ed6 90 41 00   Note On(0-Off) F3

38d42edf 90 4a 00   Note On(0-Off) D4
38d42f70 90 41 67   Note On F3 103

38d42f72 90 45 70   Note On A3 112

38d42f73 90 48 69   Note On C4 105
38d43040 90 32 00   Note On(0-Off) D2
38d430c6 90 37 66   Note On G2 102
38d4318c 90 45 00   Note On(0-Off) A3
38d431fe 90 47 70   Note On B3 112

38d43206 90 48 00   Note On(0-Off) C4
38d4325a 90 37 00   Note On(0-Off) G2
38d432b9 90 47 00   Note On(0-Off) B3

38d432bd 90 41 00   Note On(0-Off) F3
38d435c4 90 40 67   Note On E3 103

38d435c8 90 43 6b   Note On G3 107

38d435d3 90 30 60   Note On C2 96
38d4372c 90 43 00   Note On(0-Off) G3

38d43736 90 40 00   Note On(0-Off) E3

38d4373a 90 37 67   Note On G2 103

38d4375f 90 30 00   Note On(0-Off) C2
38d43893 90 40 67   Note On E3 103
38d43909 90 37 00   Note On(0-Off) G2
38d439ca 90 40 00   Note On(0-Off) E3

38d439d9 90 37 34   Note On G2 52
38d43abb 90 37 00   Note On(0-Off) G2
38d43b11 90 3e 6b   Note On D3 107

38d43b1d 90 2f 6d   Note On B1 109
38d43c44 90 35 5b   Note On F2 91

38d43c7b 90 2f 00   Note On(0-Off) B1
38d43cc0 90 3e 00   Note On(0-Off) D3
38d43d8e 90 40 3e   Note On E3 62
38d43de1 90 35 00   Note On(0-Off) F2
38d43ed6 90 35 34   Note On F2 52
38d43fbe 90 35 00   Note On(0-Off) F2

38d43ffc 90 2d 66   Note On A1 102
38d44037 90 40 00   Note On(0-Off) E3
38d44149 90 34 49   Note On E2 73

38d44189 90 2d 00   Note On(0-Off) A1
38d44233 90 34 00   Note On(0-Off) E2
38d44277 90 39 52   Note On A2 82
38d44334 90 39 00   Note On(0-Off) A2
38d443e0 90 45 52   Note On A3 82
38d44480 90 47 62   Note On B3 98

38d444b2 90 45 00   Note On(0-Off) A3
38d4452b 90 47 00   Note On(0-Off) B3
38d44534 90 2b 67   Note On G1 103

38d44537 90 41 66   Note On F3 102

38d4453a 90 48 5e   Note On C4 94
38d44616 90 2b 00   Note On(0-Off) G1

38d44629 90 41 00   Note On(0-Off) F3

38d4463a 90 48 00   Note On(0-Off) C4
38d4469b 90 45 5e   Note On A3 94

38d446a1 90 41 04   Note On F3 4
38d44716 90 41 00   Note On(0-Off) F3
38d44774 90 45 00   Note On(0-Off) A3
38d447de 90 43 3f   Note On G3 63
38d44934 90 41 4f   Note On F3 79

38d44955 90 43 00   Note On(0-Off) G3
38d44a19 90 41 00   Note On(0-Off) F3
38d44a83 90 29 45   Note On F1 69

38d44a86 90 41 64   Note On F3 100
38d44bbc 90 30 3e   Note On C2 62
38d44bee 90 29 00   Note On(0-Off) F1
38d44c4a 90 41 00   Note On(0-Off) F3

38d44c68 90 30 00   Note On(0-Off) C2
38d44cd2 90 35 14   Note On F2 20
38d44d69 90 35 00   Note On(0-Off) F2
38d44f8e 90 26 64   Note On D1 100

38d44f94 90 45 60   Note On A3 96

38d44f9c 90 41 44   Note On F3 68

38d44fa0 90 3e 56   Note On D3 86
38d450d4 90 3e 00   Note On(0-Off) D3

38d450d5 90 2d 3d   Note On A1 61

38d450d6 90 45 00   Note On(0-Off) A3
38d45106 90 41 00   Note On(0-Off) F3

38d45110 90 26 00   Note On(0-Off) D1
38d45216 90 2d 00   Note On(0-Off) A1

38d4521f 90 32 2f   Note On D2 47
38d4528f 90 32 00   Note On(0-Off) D2
38d45364 90 40 45   Note On E3 69
38d4537a 90 48 3e   Note On C4 62

38d4537d 90 43 49   Note On G3 73
38d453f6 90 40 00   Note On(0-Off) E3

38d45437 90 43 00   Note On(0-Off) G3

38d45447 90 48 00   Note On(0-Off) C4
38d454ba 90 24 7e   Note On C1 126

38d454c6 90 48 44   Note On C4 68

38d454c8 90 43 69   Note On G3 105

38d454cb 90 40 70   Note On E3 112
38d455d2 90 48 00   Note On(0-Off) C4

38d455e2 90 2b 4f   Note On G1 79
38d455ef 90 43 00   Note On(0-Off) G3

38d45645 90 24 00   Note On(0-Off) C1
38d45688 90 40 00   Note On(0-Off) E3
38d45716 90 40 2b   Note On E3 43

38d45717 90 4a 6b   Note On D4 107

38d4571b 90 43 66   Note On G3 102

38d4571c 90 30 72   Note On C2 114
38d45741 90 2b 00   Note On(0-Off) G1
38d4579d 90 43 00   Note On(0-Off) G3

38d457ca 90 4a 00   Note On(0-Off) D4
38d457f1 90 40 00   Note On(0-Off) E3
38d45852 90 30 00   Note On(0-Off) C2

38d458af 90 40 02   Note On E3 2
38d4594e 90 40 00   Note On(0-Off) E3
38d459a1 90 2e 4d   Note On Bb1 77

38d459c0 90 40 60   Note On E3 96

38d459c4 90 4c 70   Note On E4 112

38d459c5 90 43 6d   Note On G3 109
38d45ac2 90 43 00   Note On(0-Off) G3

38d45ad1 90 4c 00   Note On(0-Off) E4

38d45afc 90 40 00   Note On(0-Off) E3
38d45c7b 90 4d 74   Note On F4 116

38d45c7e 90 2e 00   Note On(0-Off) Bb1
38d45de7 90 4d 00   Note On(0-Off) F4
38d45efd 90 29 60   Note On F1 96
38d45f07 90 45 69   Note On A3 105

38d45f09 90 48 6b   Note On C4 107
38d46039 90 30 4f   Note On C2 79
38d46099 90 29 00   Note On(0-Off) F1
38d46132 90 30 00   Note On(0-Off) C2
38d4617a 90 35 2f   Note On F2 47
38d46224 90 35 00   Note On(0-Off) F2
38d462ca 90 37 36   Note On G2 54
38d4641a 90 39 38   Note On A2 56
38d46443 90 37 00   Note On(0-Off) G2
38d4657e 90 39 00   Note On(0-Off) A2
38d46747 90 48 00   Note On(0-Off) C4
38d4677a 90 45 00   Note On(0-Off) A3
38d467e1 90 48 5e   Note On C4 94

38d467e2 90 45 5e   Note On A3 94
38d46894 90 45 00   Note On(0-Off) A3
38d4689e 90 48 00   Note On(0-Off) C4
38d46928 90 2b 5b   Note On G1 91

38d46941 90 43 66   Note On G3 102

38d46943 90 47 6b   Note On B3 107
38d46a63 90 32 59   Note On D2 89
38d46aac 90 2b 00   Note On(0-Off) G1
38d46b42 90 32 00   Note On(0-Off) D2
38d46bb4 90 37 2f   Note On G2 47
38d46c3b 90 37 00   Note On(0-Off) G2
38d46d12 90 39 40   Note On A2 64
38d46e53 90 3b 3e   Note On B2 62

38d46e60 90 39 00   Note On(0-Off) A2
38d46f7e 90 3b 00   Note On(0-Off) B2

38d46f86 90 3e 3c   Note On D3 60
38d4703d 90 3e 00   Note On(0-Off) D3
38d47081 90 47 00   Note On(0-Off) B3

38d47082 90 43 00   Note On(0-Off) G3
38d47209 90 41 56   Note On F3 86

38d4720c 90 45 67   Note On A3 103
38d472cc 90 41 00   Note On(0-Off) F3
38d472d5 90 45 00   Note On(0-Off) A3
38d47368 90 28 5b   Note On E1 91

38d4736e 90 40 5f   Note On E3 95

38d47373 90 43 66   Note On G3 102
38d474ae 90 2f 3e   Note On B1 62
38d474da 90 28 00   Note On(0-Off) E1
38d4754b 90 2f 00   Note On(0-Off) B1
38d475e0 90 34 21   Note On E2 33
38d47634 90 34 00   Note On(0-Off) E2
38d476d8 90 36 1d   Note On F#2 29
38d47873 90 37 60   Note On G2 96

38d47885 90 40 00   Note On(0-Off) E3

38d4788e 90 43 00   Note On(0-Off) G3

38d4789f 90 36 00   Note On(0-Off) F#2
38d479ab 90 3b 6d   Note On B2 109

38d479be 90 37 00   Note On(0-Off) G2
38d47ac8 90 3b 00   Note On(0-Off) B2

38d47af6 90 41 6b   Note On F3 107

38d47af8 90 3e 66   Note On D3 102
38d47c12 90 41 00   Note On(0-Off) F3

38d47c22 90 3e 00   Note On(0-Off) D3
38d47d82 90 2d 52   Note On A1 82

38d47d8f 90 40 66   Note On E3 102
38d47ec9 90 34 52   Note On E2 82
38d47f23 90 2d 00   Note On(0-Off) A1
38d47fa7 90 34 00   Note On(0-Off) E2

38d47fb1 90 40 00   Note On(0-Off) E3
38d48056 90 39 40   Note On A2 64
38d48131 90 39 00   Note On(0-Off) A2
38d48171 90 3b 3d   Note On B2 61
38d48329 90 3b 00   Note On(0-Off) B2
38d487e4 90 26 47   Note On D1 71
38d48910 90 2d 3f   Note On A1 63
38d4896e 90 26 00   Note On(0-Off) D1
38d48a16 90 2d 00   Note On(0-Off) A1

38d48a6a 90 32 27   Note On D2 39
38d48acf 90 32 00   Note On(0-Off) D2
38d48bd0 90 34 1c   Note On E2 28
38d48d36 90 35 60   Note On F2 96

38d48d41 90 34 00   Note On(0-Off) E2
38d48d4f 90 45 62   Note On A3 98

38d48d58 90 4a 66   Note On D4 102

38d48d58 90 4d 66   Note On F4 102
38d48e92 90 39 5e   Note On A2 94

38d48e94 90 35 00   Note On(0-Off) F2
38d48f15 90 4d 00   Note On(0-Off) F4

38d48f46 90 39 00   Note On(0-Off) A2

38d48f6b 90 45 00   Note On(0-Off) A3
38d48fab 90 4a 00   Note On(0-Off) D4
38d490e3 90 45 47   Note On A3 71

38d490e6 90 4c 67   Note On E4 103

38d490e7 90 48 52   Note On C4 82
38d4918b 90 4c 00   Note On(0-Off) E4

38d4918c 90 45 00   Note On(0-Off) A3

38d4919e 90 48 00   Note On(0-Off) C4
38d49249 90 43 67   Note On G3 103

38d4924d 90 4a 69   Note On D4 105

38d4924e 90 47 6b   Note On B3 107

38d49253 90 2b 59   Note On G1 89
38d49385 90 32 4b   Note On D2 75

38d493ba 90 2b 00   Note On(0-Off) G1
38d49465 90 32 00   Note On(0-Off) D2
38d494d5 90 37 21   Note On G2 33
38d4950e 90 47 00   Note On(0-Off) B3

38d4952b 90 43 00   Note On(0-Off) G3

38d49536 90 4a 00   Note On(0-Off) D4
38d49571 90 37 00   Note On(0-Off) G2
38d495f8 90 39 60   Note On A2 96

38d49600 90 43 42   Note On G3 66

38d49602 90 4c 66   Note On E4 102

38d49606 90 48 60   Note On C4 96
38d496bb 90 43 00   Note On(0-Off) G3

38d496bc 90 48 00   Note On(0-Off) C4

38d496c0 90 4c 00   Note On(0-Off) E4
38d4975e 90 43 67   Note On G3 103

38d49765 90 4d 6e   Note On F4 110

38d49766 90 48 6d   Note On C4 109

38d4976c 90 3b 67   Note On B2 103

38d4976d 90 39 00   Note On(0-Off) A2
38d4982e 90 48 00   Note On(0-Off) C4
38d498d3 90 4d 00   Note On(0-Off) F4
38d49931 90 43 00   Note On(0-Off) G3
38d49975 90 3b 00   Note On(0-Off) B2
38d49b2f 90 4c 66   Note On E4 102
38d49bd1 90 4c 00   Note On(0-Off) E4
38d49c84 90 24 76   Note On C1 118

38d49c97 90 4f 64   Note On G4 100

38d49c9c 90 48 47   Note On C4 71

38d49c9d 90 4c 6b   Note On E4 107
38d49db5 90 2b 4b   Note On G1 75
38d49e10 90 24 00   Note On(0-Off) C1
38d49eaf 90 2b 00   Note On(0-Off) G1
38d49ef4 90 30 3c   Note On C2 60
38d49f98 90 30 00   Note On(0-Off) C2
38d4a06a 90 32 3a   Note On D2 58
38d4a1c9 90 34 4b   Note On E2 75
38d4a206 90 32 00   Note On(0-Off) D2
38d4a312 90 37 5e   Note On G2 94

38d4a314 90 34 00   Note On(0-Off) E2
38d4a336 90 48 00   Note On(0-Off) C4
38d4a3a5 90 37 00   Note On(0-Off) G2
38d4a3ec 90 4f 00   Note On(0-Off) G4
38d4a459 90 48 3c   Note On C4 60

38d4a46b 90 4c 00   Note On(0-Off) E4
38d4a5ba 90 4a 6b   Note On D4 107

38d4a5e5 90 48 00   Note On(0-Off) C4
38d4a6fc 90 46 28   Note On Bb3 40

38d4a70a 90 4f 59   Note On G4 89

38d4a72b 90 2e 67   Note On Bb1 103
38d4a731 90 3a 56   Note On Bb2 86
38d4a804 90 3a 00   Note On(0-Off) Bb2

38d4a822 90 4f 00   Note On(0-Off) G4

38d4a830 90 2e 00   Note On(0-Off) Bb1

38d4a845 90 4a 00   Note On(0-Off) D4
38d4a941 90 46 00   Note On(0-Off) Bb3
38d4a9a5 90 2d 4b   Note On A1 75

38d4a9b4 90 46 44   Note On Bb3 68

38d4a9b5 90 51 5b   Note On A4 91

38d4a9b6 90 39 44   Note On A2 68

38d4a9ba 90 4a 76   Note On D4 118
38d4aa56 90 51 00   Note On(0-Off) A4

38d4aa7a 90 2d 00   Note On(0-Off) A1

38d4aa7f 90 4a 00   Note On(0-Off) D4

38d4aa92 90 39 00   Note On(0-Off) A2
38d4ac36 90 2b 40   Note On G1 64

38d4ac3a 90 52 64   Note On Bb4 100

38d4ac45 90 37 3d   Note On G2 61
38d4ac4c 90 4a 76   Note On D4 118
38d4acf3 90 4a 00   Note On(0-Off) D4

38d4ad02 90 52 00   Note On(0-Off) Bb4

38d4ad0e 90 2b 00   Note On(0-Off) G1
38d4ad1a 90 37 00   Note On(0-Off) G2
38d4ad80 90 51 60   Note On A4 96

38d4ad87 90 4a 6b   Note On D4 107

38d4ad98 90 29 3f   Note On F1 63

38d4ada7 90 35 3c   Note On F2 60

38d4adac 90 37 33   Note On G2 51

38d4add6 90 37 00   Note On(0-Off) G2

38d4add7 90 35 00   Note On(0-Off) F2
38d4ade0 90 4a 00   Note On(0-Off) D4

38d4adf6 90 29 00   Note On(0-Off) F1

38d4ae00 90 51 00   Note On(0-Off) A4

38d4ae08 90 46 00   Note On(0-Off) Bb3
38d4aebf 90 4f 69   Note On G4 105

38d4aed1 90 26 5b   Note On D1 91

38d4aedc 90 32 4b   Note On D2 75
38d4af65 90 4f 00   Note On(0-Off) G4
38d4af7d 90 26 00   Note On(0-Off) D1

38d4af88 90 32 00   Note On(0-Off) D2
38d4b148 90 4d 6b   Note On F4 107

38d4b14c 90 4a 64   Note On D4 100

38d4b15c 90 29 66   Note On F1 102
38d4b2b4 90 30 4d   Note On C2 77
38d4b328 90 29 00   Note On(0-Off) F1
38d4b395 90 30 00   Note On(0-Off) C2

38d4b3c0 90 4a 00   Note On(0-Off) D4
38d4b3e8 90 35 2f   Note On F2 47
38d4b468 90 4d 00   Note On(0-Off) F4

38d4b47d 90 35 00   Note On(0-Off) F2
38d4b518 90 37 3d   Note On G2 61
38d4b697 90 39 27   Note On A2 39
38d4b6d9 90 37 00   Note On(0-Off) G2
38d4b83b 90 39 00   Note On(0-Off) A2
38d4b944 90 4d 6e   Note On F4 110

38d4b947 90 45 5f   Note On A3 95

38d4b94a 90 48 67   Note On C4 103
38d4bb2c 90 45 00   Note On(0-Off) A3

38d4bb4a 90 4d 00   Note On(0-Off) F4
38d4bb74 90 48 00   Note On(0-Off) C4
38d4bbec 90 35 62   Note On F2 98

38d4bbf6 90 45 5b   Note On A3 91

38d4bbf9 90 48 5f   Note On C4 95

38d4bbfd 90 4c 6d   Note On E4 109
38d4bd48 90 35 00   Note On(0-Off) F2
38d4bd65 90 45 00   Note On(0-Off) A3

38d4bd8c 90 48 00   Note On(0-Off) C4
38d4bdc1 90 4c 00   Note On(0-Off) E4
38d4be71 90 39 3f   Note On A2 63
38d4be94 90 45 5e   Note On A3 94

38d4be96 90 4d 62   Note On F4 98

38d4be9a 90 48 62   Note On C4 98
38d4bf79 90 45 00   Note On(0-Off) A3

38d4bf87 90 4d 00   Note On(0-Off) F4

38d4bf97 90 39 00   Note On(0-Off) A2

38d4bfa7 90 48 00   Note On(0-Off) C4
38d4bfe7 90 48 64   Note On C4 100

38d4bfeb 90 45 66   Note On A3 102

38d4bfed 90 4c 6d   Note On E4 109
38d4c11e 90 35 56   Note On F2 86
38d4c14d 90 48 00   Note On(0-Off) C4

38d4c18d 90 45 00   Note On(0-Off) A3

38d4c19b 90 4c 00   Note On(0-Off) E4
38d4c26f 90 35 00   Note On(0-Off) F2

38d4c275 90 48 66   Note On C4 102
38d4c27a 90 4d 67   Note On F4 103

38d4c27c 90 45 59   Note On A3 89
38d4c3cd 90 39 3d   Note On A2 61

38d4c3de 90 48 00   Note On(0-Off) C4

38d4c3e2 90 4d 00   Note On(0-Off) F4

38d4c3f2 90 45 00   Note On(0-Off) A3
38d4c502 90 39 00   Note On(0-Off) A2

38d4c51c 90 43 5e   Note On G3 94

38d4c51e 90 4a 60   Note On D4 96

38d4c521 90 47 60   Note On B3 96
38d4c688 90 34 5e   Note On E2 94
38d4c7d2 90 34 00   Note On(0-Off) E2
38d4c913 90 37 69   Note On G2 105
38d4c99c 90 37 00   Note On(0-Off) G2

38d4c9da 90 43 00   Note On(0-Off) G3

38d4c9e7 90 47 00   Note On(0-Off) B3

38d4c9f0 90 4a 00   Note On(0-Off) D4
38d5187d 90 40 5e   Note On E3 94

38d51890 90 48 3e   Note On C4 62

38d51890 90 43 5e   Note On G3 94
38d51e7d 90 48 00   Note On(0-Off) C4

38d51e7f 90 43 00   Note On(0-Off) G3
38d51e81 90 40 00   Note On(0-Off) E3
38d61989 90 37 49   Note On G2 73

38d6198c 90 3e 4d   Note On D3 77

38d61990 90 3b 4d   Note On B2 77

38d6199a 90 24 79   Note On C1 121
38d61e0f 90 24 00   Note On(0-Off) C1

38d61e29 90 37 00   Note On(0-Off) G2

38d61e4f 90 3e 00   Note On(0-Off) D3
38d61e6e 90 3b 00   Note On(0-Off) B2
38d62946 90 44 56   Note On Ab3 86
38d62afb 90 3f 4f   Note On Eb3 79
38d62b43 90 44 00   Note On(0-Off) Ab3
38d62c29 90 3f 00   Note On(0-Off) Eb3
38d62c8c 90 3f 15   Note On Eb3 21

38d62c8e 90 2f 3d   Note On B1 61

38d62c94 90 3b 44   Note On B2 68

38d62c95 90 42 5b   Note On F#3 91
38d62e7f 90 3b 00   Note On(0-Off) B2

38d62e9d 90 3f 00   Note On(0-Off) Eb3

38d62ea2 90 42 00   Note On(0-Off) F#3
38d62ed4 90 2f 00   Note On(0-Off) B1
38d63164 90 2c 21   Note On Ab1 33

38d63165 90 3f 45   Note On Eb3 69

38d63166 90 3b 66   Note On B2 102

38d6316b 90 38 31   Note On Ab2 49
38d63452 90 3b 00   Note On(0-Off) B2

38d63452 90 38 00   Note On(0-Off) Ab2

38d63453 90 3f 00   Note On(0-Off) Eb3
38d6347a 90 2c 00   Note On(0-Off) Ab1
38d63975 90 38 3d   Note On Ab2 61

38d63976 90 3b 69   Note On B2 105

38d6398b 90 28 40   Note On E1 64
38d63b0f 90 3d 67   Note On C#3 103
38d63bba 90 3b 00   Note On(0-Off) B2
